Source,Target,Group,Weight,Weight_2018,Weight_2019,Weight_2020,Weight_2021,Weight_2022,Weight_2023,Weight_2024
59,193,Faculty-Collaborator,5,0,0,0,0,1,5,5
59,202,Doctoral Fellow-Collaborator,2,0,0,0,0,1,2,2
59,214,Doctoral Fellow-Collaborator,3,0,0,0,0,0,3,3
60,126,Collaborator-Collaborator,1,0,0,1,1,1,1,1
60,153,Collaborator-Collaborator,1,0,0,1,1,1,1,1
60,194,Collaborator-Collaborator,1,0,0,1,1,1,1,1
60,214,Doctoral Fellow-Collaborator,1,0,0,1,1,1,1,1
60,223,Collaborator-Collaborator,1,0,0,1,1,1,1,1
61,86,Faculty-Collaborator,1,0,0,0,1,1,1,1
61,121,Faculty-Collaborator,1,0,0,0,0,1,1,1
61,125,Faculty-Faculty,2,1,1,1,2,2,2,2
61,137,Faculty-Collaborator,1,0,0,0,0,1,1,1
61,142,Faculty-Collaborator,1,0,0,0,1,1,1,1
61,158,Faculty-Faculty,1,0,0,0,0,1,1,1
61,180,Faculty-Collaborator,1,1,1,1,1,1,1,1
61,206,Faculty-Collaborator,1,0,0,0,1,1,1,1
61,209,Faculty-Doctoral Fellow,1,0,0,0,1,1,1,1
61,215,Faculty-Collaborator,1,1,1,1,1,1,1,1
61,228,Faculty-Affiliate Student,1,1,1,1,1,1,1,1
62,150,Faculty-Collaborator,2,0,0,0,0,0,1,2
62,158,Faculty-Faculty,2,0,0,0,0,0,1,2
62,159,Faculty-Doctoral Fellow,1,0,0,0,0,0,1,1
63,79,Collaborator-Collaborator,1,0,0,0,0,0,0,1
63,133,Collaborator-Collaborator,1,0,0,0,0,0,0,1
63,141,Collaborator-Collaborator,1,0,0,0,0,0,0,1
63,155,Doctoral Fellow-Collaborator,1,0,0,0,0,0,0,1
63,214,Doctoral Fellow-Collaborator,1,0,0,0,0,0,0,1
63,222,Collaborator-Collaborator,1,0,0,0,0,0,0,1
64,93,Doctoral Fellow-Collaborator,1,0,1,1,1,1,1,1
64,119,Collaborator-Collaborator,1,0,1,1,1,1,1,1
64,138,Collaborator-Collaborator,1,0,1,1,1,1,1,1
64,139,Collaborator-Collaborator,1,0,1,1,1,1,1,1
64,146,Collaborator-Collaborator,1,0,1,1,1,1,1,1
64,152,Faculty-Collaborator,1,0,1,1,1,1,1,1
64,201,Collaborator-Collaborator,1,0,1,1,1,1,1,1
64,228,Affiliate Student-Collaborator,1,0,1,1,1,1,1,1
65,155,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
65,193,Faculty-Collaborator,1,0,0,0,1,1,1,1
66,82,Collaborator-Collaborator,1,0,0,1,1,1,1,1
66,198,Collaborator-Collaborator,1,0,0,1,1,1,1,1
67,163,Faculty-Collaborator,2,1,1,1,2,2,2,2
67,220,Doctoral Fellow-Collaborator,2,1,1,1,2,2,2,2
68,135,Collaborator-Collaborator,1,0,0,0,1,1,1,1
68,147,Collaborator-Collaborator,1,0,0,0,1,1,1,1
68,203,Collaborator-Collaborator,1,0,0,0,1,1,1,1
68,232,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
69,72,Collaborator-Collaborator,1,0,0,0,1,1,1,1
69,99,Collaborator-Collaborator,1,0,0,0,1,1,1,1
69,100,Collaborator-Collaborator,1,0,0,0,1,1,1,1
69,111,Faculty-Collaborator,1,0,0,0,1,1,1,1
69,128,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
69,162,Collaborator-Collaborator,1,0,0,0,1,1,1,1
71,80,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
71,93,Doctoral Fellow-Collaborator,1,0,0,0,0,0,1,1
71,205,Collaborator-Collaborator,1,0,0,0,1,1,1,1
71,217,Collaborator-Collaborator,2,0,0,0,1,1,2,2
72,99,Collaborator-Collaborator,1,0,0,0,1,1,1,1
72,100,Collaborator-Collaborator,1,0,0,0,1,1,1,1
72,111,Faculty-Collaborator,1,0,0,0,1,1,1,1
72,128,Doctoral Fellow-Collaborator,1,0,0,0,1,1,1,1
72,162,Collaborator-Collaborator,1,0,0,0,1,1,1,1
